,Unnamed: 0,nightdate,jd,field,rcid,ra0,dec0,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,sciinpseeing,difffwhm,exptime,status,exitcode
158,742723, 2019-04-25 ,2458598.8469676003,1,43,194.2245000563,48.26497139775,4,2,84434696,2,21.57,20.5713,1.7686,2.34135,30,1,0
159,742724, 2019-04-25 ,2458598.8469676003,1,46,190.1427958705,48.16715842074,1,2,84434696,2,21.28,20.4169,1.9112,2.43133,30,1,0
160,742725, 2019-04-25 ,2458598.8469676003,1,33,198.5562962252,49.07293888295,4,2,84434696,2,21.6,20.62,1.5156,2.43393,30,1,0
161,742726, 2019-04-25 ,2458598.8469676003,1,61,189.8638830918,50.93956005734999,4,2,84434696,2,21.29,20.3659,1.8191,2.36817,30,1,0
162,742727, 2019-04-25 ,2458598.8469676003,1,49,198.7042453914,50.98585075332,2,2,84434696,2,21.53,20.447,1.7188,2.32511,30,1,0
163,742728, 2019-04-25 ,2458598.8469676003,1,50,198.6358996317,50.12064866177,6,2,84434696,2,21.65,20.5847,1.4918,2.22234,30,1,0
164,742729, 2019-04-25 ,2458598.8469676003,1,28,191.4974349999,47.16627090972,5,2,84434696,2,21.44,20.5188,1.9299,2.42873,30,1,0
165,742730, 2019-04-25 ,2458598.8469676003,1,63,191.2998678766,50.12446155174,4,2,84434696,2,21.44,20.5601,1.8062,2.28676,30,1,0
166,742731, 2019-04-25 ,2458598.8469676003,1,16,199.6922450839,47.11727140665,5,2,84434696,2,21.58,20.6088,1.612,2.27569,30,1,0
167,742732, 2019-04-25 ,2458598.8469676003,1,1,198.2976043573,45.25430558314999,3,2,84434696,2,21.55,20.6197,1.6462,2.28123,30,1,0
168,742733, 2019-04-25 ,2458598.8469676003,1,24,194.2339407348,47.21644382363,10,2,84434696,2,21.49,20.4737,1.8238,2.51559,30,1,0
169,742734, 2019-04-25 ,2458598.8469676003,1,40,194.2122794377,49.13130722123,4,2,84434696,2,21.66,20.6698,1.6239,2.19373,30,1,0
170,742735, 2019-04-25 ,2458598.8469676003,1,27,194.2468712235,46.350155629140005,1,2,84434696,2,21.54,20.5911,1.8074,2.24496,30,1,0
